Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
3,0.2063,21.5165,8.7048,0,21.6950,8.6378,0,0.1907,0.1801,255,255
3,0.2044,0.5245,12.4546,0,0.3571,12.5438,0,0.1897,0.1844,255,255
3,0.2044,21.4607,11.1935,0,21.6281,11.2828,0,0.1897,0.1480,255,255
3,0.2025,20.2666,9.2851,0,20.1103,9.1735,0,0.1920,0.1932,255,255
3,0.2017,0.5245,14.6866,0,0.7031,14.6308,0,0.1871,0.1860,255,255
3,0.1990,11.0596,0.1674,0,10.8698,0.1674,0,0.1897,0.1797,255,255
3,0.1978,0.7031,14.6308,0,0.8147,14.4857,0,0.1830,0.1676,255,255
3,0.1978,14.5973,0.1562,0,14.7535,0.0558,0,0.1857,0.1770,255,255
3,0.1978,19.9876,9.0396,0,20.1103,9.1735,0,0.1817,0.1665,255,255
3,0.1943,0.1004,7.7562,0,0.1116,7.9459,0,0.1900,0.1562,255,255
3,0.1924,0.5245,15.2669,0,0.7031,15.2334,0,0.1817,0.1597,255,255
3,0.1867,0.2567,8.0464,0,0.1116,7.9459,0,0.1765,0.1803,255,255
3,0.1859,15.8584,15.4343,0,16.0258,15.4343,0,0.1674,0.1524,255,255
3,0.1840,13.7491,0.4129,0,13.5929,0.3460,0,0.1700,0.1691,255,255
3,0.1794,0.6026,12.3095,0,0.5468,12.1532,0,0.1659,0.1634,255,255
3,0.1774,15.6128,0.4129,0,15.6910,0.5580,0,0.1648,0.1624,255,255
3,0.1766,15.8584,15.4343,0,16.0258,15.4343,0,0.1674,0.1565,255,255
3,0.1755,20.1326,14.4187,0,20.2331,14.2848,0,0.1674,0.1482,255,255
3,0.1747,1.9530,9.5418,0,1.9530,9.3856,0,0.1562,0.1634,255,255
3,0.1747,9.0284,15.4343,0,9.1847,15.4343,0,0.1562,0.1412,255,255
3,0.1747,17.0078,15.4343,0,17.1641,15.4343,0,0.1562,0.1412,255,255
3,0.1709,17.6886,0.1562,0,17.7779,0.0223,0,0.1610,0.1340,255,255
3,0.1701,6.0264,15.2892,0,6.1826,15.3227,0,0.1598,0.1559,255,255
3,0.1701,17.7779,0.0223,0,17.9341,0.0335,0,0.1566,0.1462,255,255
3,0.1655,2.1985,15.4343,0,2.3436,15.4231,0,0.1455,0.1453,255,255
3,0.1655,9.0284,15.4343,0,9.1847,15.4343,0,0.1562,0.1453,255,255
3,0.1655,17.0078,15.4343,0,17.1641,15.4343,0,0.1562,0.1453,255,255
3,0.1636,0.8928,15.4343,0,1.0379,15.4343,0,0.1451,0.1301,255,255
3,0.1617,8.7048,15.3562,0,8.8276,15.4120,0,0.1348,0.1455,255,255
3,0.1597,19.9764,14.6084,0,19.8760,14.4968,0,0.1501,0.1482,255,255
3,0.1597,22.6548,8.0352,0,22.7776,8.1245,0,0.1518,0.1607,255,255
3,0.1597,20.0099,14.3518,0,20.1326,14.4187,0,0.1398,0.1452,255,255
3,0.1589,2.1985,15.4343,0,2.3436,15.4231,0,0.1455,0.1412,255,255
3,0.1543,0.8928,15.4343,0,1.0379,15.4343,0,0.1451,0.1341,255,255
3,0.1532,0.2120,7.6558,0,0.1004,7.7562,0,0.1501,0.1532,255,255
3,0.1505,10.5685,15.2557,0,10.6355,15.3785,0,0.1398,0.1487,255,255
3,0.1486,10.7582,0.0781,0,10.8698,0.1674,0,0.1429,0.1088,255,255
3,0.1478,19.6862,14.5638,0,19.6862,14.6866,0,0.1228,0.1035,255,255
3,0.1459,22.5767,11.0930,0,22.6994,11.1488,0,0.1348,0.1130,255,255
3,0.1459,22.6994,11.1488,0,22.8222,11.2046,0,0.1348,0.1142,255,255
3,0.1413,13.0907,15.4343,0,13.2134,15.4343,0,0.1228,0.0966,255,255
3,0.1413,20.2108,15.4343,0,20.3335,15.4343,0,0.1228,0.1078,255,255
3,0.1393,20.0210,14.7982,0,20.0434,14.9098,0,0.1138,0.1168,255,255
3,0.1393,14.5973,0.1562,0,14.6754,0.2567,0,0.1272,0.0986,255,255
3,0.1385,20.2442,14.5861,0,20.1103,14.5973,0,0.1344,0.1341,255,255
3,0.1347,22.6548,3.7051,0,22.7664,3.7609,0,0.1248,0.1340,255,255
3,0.1347,19.5746,14.7200,0,19.6862,14.6866,0,0.1165,0.1032,255,255
3,0.1320,2.3436,15.4231,0,2.4440,15.4231,0,0.1004,0.1007,255,255
3,0.1320,13.0907,15.4343,0,13.2134,15.4343,0,0.1228,0.1007,255,255
