 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length,Longest Shortest Path,spx,spy,spz
433,3,1,3,1,52,0.2308,1,0,0.3745,0.6096,20.4451,5.3903,0
434,1,0,2,0,2,0.0427,0,0,0.0427,0.0427,20.0434,14.7200,0
435,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,20.0434,14.6419,0
436,1,0,2,0,15,0.2063,0,0,0.2063,0.2063,20.2554,4.6984,0
437,1,0,2,0,1,0.0223,0,0,0.0223,0.0223,20.2108,8.4035,0
438,1,0,2,0,0,0.0158,0,0,0.0158,0.0158,20.2442,14.6866,0
439,1,0,2,0,135,1.6796,0,0,1.6796,1.6796,21.6169,7.6223,0
440,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,20.3224,14.8093,0
441,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,20.4563,10.6020,0
442,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,20.7018,1.4062,0
443,1,0,2,0,2,0.0335,0,0,0.0335,0.0335,20.8915,10.3230,0
444,1,0,2,0,31,0.4357,0,0,0.4357,0.4357,21.0701,0.8593,0
445,1,0,2,0,91,1.2532,0,0,1.2532,1.2532,21.5165,13.6933,0
446,1,0,2,0,53,0.7228,0,0,0.7228,0.7228,21.2152,9.0173,0
447,1,0,2,0,6,0.1059,0,0,0.1059,0.1059,21.1036,1.4508,0
448,1,0,2,0,107,1.3024,0,0,1.3024,1.3024,22.2419,4.9774,0
449,1,0,2,0,9,0.1440,0,0,0.1440,0.1440,21.1705,10.8810,0
450,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,21.1147,10.3342,0
451,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,21.1594,14.1286,0
452,1,0,2,0,30,0.3876,0,0,0.3876,0.3876,21.2710,14.5526,0
453,8,4,4,8,194,0.3261,4,0,0.9730,1.8886,22.1303,10.5350,0
454,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,21.4160,12.3876,0
455,1,0,2,0,4,0.0558,0,0,0.0558,0.0558,21.5053,5.5465,0
456,1,0,2,0,5,0.0716,0,0,0.0716,0.0716,21.7174,7.3544,0
457,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,21.7285,10.5797,0
458,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,21.7843,11.2158,0
459,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,21.8513,11.2716,0
460,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,21.9182,10.2560,0
461,1,0,2,0,14,0.1674,0,0,0.1674,0.1674,22.1191,5.2006,0
462,1,0,2,0,9,0.1301,0,0,0.1301,0.1301,22.0856,10.0552,0
463,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,21.9852,12.3988,0
464,1,0,2,0,26,0.3522,0,0,0.3522,0.3522,22.6213,13.6710,0
465,1,0,2,0,2,0.0335,0,0,0.0335,0.0335,22.4316,10.6020,0
466,1,0,2,0,6,0.0827,0,0,0.0827,0.0827,22.4874,10.2337,0
467,1,0,2,0,14,0.1766,0,0,0.1766,0.1766,22.5878,8.2138,0
468,1,0,2,0,2,0.0381,0,0,0.0381,0.0381,22.6325,13.2023,0
469,1,0,2,0,1,0.0269,0,0,0.0269,0.0269,22.7664,10.6578,0
470,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,22.7664,10.7359,0
