 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
214,2324,265.8650,0.4132,3.5229,0.2839,0.8331,54.3968,young37.png
215,1226,137.8823,0.8104,1.5760,0.6345,0.9482,39.5094,young37.png
216,5804,404.9605,0.4447,3.0650,0.3263,0.8198,85.9644,young37.png
217,4138,264.8944,0.7411,1.2588,0.7944,0.9323,72.5856,young37.png
218,952,191.6812,0.3256,5.3046,0.1885,0.7887,34.8156,young37.png
219,509,96.5685,0.6859,1.9515,0.5124,0.8891,25.4574,young37.png
220,2331,264.6518,0.4182,4.2199,0.2370,0.8641,54.4786,young37.png
221,764,134.6102,0.5298,2.4179,0.4136,0.7678,31.1890,young37.png
222,49,29.7990,0.6934,1.8195,0.5496,0.7903,7.8987,young37.png
223,119,49.3553,0.6139,2.1286,0.4698,0.8041,12.3092,young37.png
224,270,73.1127,0.6347,2.8893,0.3461,0.9424,18.5412,young37.png
225,801,146.1249,0.4714,1.9737,0.5067,0.7857,31.9353,young37.png
226,1269,177.1960,0.5079,3.5701,0.2801,0.9314,40.1963,young37.png
227,15,14.1421,0.9425,1.3607,0.7349,0.7895,4.3702,young37.png
228,10243,623.8133,0.3308,1.9470,0.5136,0.8692,114.2007,young37.png
229,379,102.6690,0.4518,4.3948,0.2275,0.9045,21.9672,young37.png
230,1149,141.0538,0.7257,2.1115,0.4736,0.9555,38.2486,young37.png
231,1120,177.1543,0.4485,4.4853,0.2230,0.9424,37.7628,young37.png
232,369,79.9411,0.7256,2.1523,0.4646,0.9330,21.6755,young37.png
233,8,9.0711,1.0000,1.2286,0.8139,0.9412,3.1915,young37.png
234,5,7.6569,1.0000,1.5530,0.6439,0.9091,2.5231,young37.png
235,26420,1448.0773,0.1583,2.3002,0.4347,0.6737,183.4093,young37.png
236,515,97.1543,0.6856,2.1309,0.4693,0.9288,25.6070,young37.png
237,99627,4532.9183,0.0609,2.1056,0.4749,0.6587,356.1587,young37.png
238,4,7.0711,1.0000,1.4676,0.6814,0.8000,2.2568,young37.png
239,530,87.2548,0.8748,1.4042,0.7122,0.9550,25.9772,young37.png
240,36440,1051.2935,0.4143,2.8113,0.3557,0.9076,215.3993,young37.png
241,12308,483.7889,0.6608,1.0453,0.9567,0.8985,125.1840,young37.png
242,2329,193.8234,0.7791,1.5458,0.6469,0.9171,54.4553,young37.png
243,751,185.7229,0.2736,5.4194,0.1845,0.6271,30.9225,young37.png
244,80,33.7990,0.8800,1.6622,0.6016,0.9091,10.0925,young37.png
245,44,24.9706,0.8868,1.5548,0.6432,0.8713,7.4848,young37.png
246,61,31.4558,0.7747,1.4021,0.7132,0.8243,8.8129,young37.png
247,388,81.2548,0.7385,1.9832,0.5042,0.9238,22.2265,young37.png
248,628,108.6690,0.6683,2.6175,0.3820,0.9537,28.2771,young37.png
249,79,38.2843,0.6773,2.1226,0.4711,0.8272,10.0293,young37.png
250,248,74.8701,0.5560,3.1394,0.3185,0.9068,17.7697,young37.png
251,801,124.2254,0.6523,1.7868,0.5596,0.8725,31.9353,young37.png
252,653,97.4975,0.8632,1.2267,0.8152,0.9464,28.8344,young37.png
253,11499,563.4874,0.4551,1.4290,0.6998,0.8421,120.9999,young37.png
254,82,38.5269,0.6942,2.8933,0.3456,0.8817,10.2179,young37.png
255,839,114.9117,0.7984,1.8042,0.5543,0.9512,32.6841,young37.png
256,81,38.6274,0.6822,2.6040,0.3840,0.8710,10.1554,young37.png
257,10,12.4853,0.8061,2.1980,0.4550,0.8333,3.5682,young37.png
258,3214,233.2376,0.7424,1.6078,0.6220,0.9700,63.9702,young37.png
259,36,25.7990,0.6797,2.9365,0.3405,0.8372,6.7703,young37.png
260,2255,285.1787,0.3484,3.3506,0.2985,0.6605,53.5832,young37.png
261,36,22.1421,0.9227,1.8750,0.5333,0.9000,6.7703,young37.png
262,29,22.3848,0.7273,2.4733,0.4043,0.7945,6.0765,young37.png
263,580,104.5685,0.6666,2.2254,0.4494,0.9206,27.1750,young37.png
264,493,101.2548,0.6043,2.6763,0.3736,0.9241,25.0541,young37.png
265,208,58.4264,0.7657,1.3445,0.7438,0.8739,16.2737,young37.png
266,8100,451.0782,0.5003,2.8297,0.3534,0.9184,101.5541,young37.png
267,1792,229.8234,0.4263,3.1856,0.3139,0.8337,47.7666,young37.png
268,31,24.9706,0.6248,1.8803,0.5318,0.7209,6.2825,young37.png
269,3898,461.6468,0.2298,1.2852,0.7781,0.7471,70.4492,young37.png
270,549,127.5391,0.4241,4.2147,0.2373,0.8920,26.4388,young37.png
271,6399,397.2203,0.5096,2.4285,0.4118,0.9019,90.2633,young37.png
272,13172,909.4600,0.2001,1.6826,0.5943,0.7026,129.5033,young37.png
273,4131,292.8944,0.6051,2.9427,0.3398,0.9551,72.5242,young37.png
274,218,57.9411,0.8160,1.7751,0.5633,0.9218,16.6603,young37.png
275,9408,749.5118,0.2105,1.9735,0.5067,0.7576,109.4470,young37.png
276,999,139.8823,0.6416,2.3252,0.4301,0.9376,35.6646,young37.png
277,1107,141.1543,0.6982,2.2471,0.4450,0.9437,37.5430,young37.png
278,13146,696.9260,0.3401,2.7400,0.3650,0.8311,129.3754,young37.png
